anchor_date,acq_datetime,id,datetime,cloud_cover,platform,constellation,collection,coverage_frac_union,coverage_area_union
2023-02-02,2023-02-02 09:21:09.024000+00:00,S2B_MSIL2A_20230202T092109_N0510_R093_T35TKF_20240815T155145,2023-02-02 09:21:09.024000+00:00,0.42,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-02-02,2023-02-02 09:21:09.024000+00:00,S2B_MSIL2A_20230202T092109_N0510_R093_T34TFL_20240815T155145,2023-02-02 09:21:09.024000+00:00,0.38,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-02-02,2023-02-02 09:21:09.024000+00:00,S2B_MSIL2A_20230202T092109_N0510_R093_T34TFK_20240815T155145,2023-02-02 09:21:09.024000+00:00,2.81,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-04-09,2023-04-13 09:20:29.024000+00:00,S2B_MSIL2A_20230413T092029_N0510_R093_T35TKE_20240829T164005,2023-04-13 09:20:29.024000+00:00,0.006178,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000016,5739455232.610076
2023-04-09,2023-04-13 09:20:29.024000+00:00,S2B_MSIL2A_20230413T092029_N0510_R093_T34TGL_20240829T164005,2023-04-13 09:20:29.024000+00:00,0.070904,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000016,5739455232.610076
2023-04-09,2023-04-13 09:20:29.024000+00:00,S2B_MSIL2A_20230413T092029_N0510_R093_T34TFL_20240829T164005,2023-04-13 09:20:29.024000+00:00,0.001234,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000016,5739455232.610076
2023-04-09,2023-04-13 09:20:29.024000+00:00,S2B_MSIL2A_20230413T092029_N0510_R093_T34TFK_20240829T164005,2023-04-13 09:20:29.024000+00:00,0.002369,sentinel-2b,sentinel-2,sentinel-2-l2a,1.0000000000000016,5739455232.610076
2023-06-13,2023-06-22 09:15:59.024000+00:00,S2B_MSIL2A_20230622T091559_N0510_R093_T34TGL_20240911T015737,2023-06-22 09:15:59.024000+00:00,13.895516,sentinel-2b,sentinel-2,sentinel-2-l2a,0.9985290205243998,5731012611.761772
2023-06-13,2023-06-22 09:15:59.024000+00:00,S2B_MSIL2A_20230622T091559_N0510_R093_T34TFL_20240911T015737,2023-06-22 09:15:59.024000+00:00,2.597108,sentinel-2b,sentinel-2,sentinel-2-l2a,0.9985290205243998,5731012611.761772
2023-06-13,2023-06-22 09:15:59.024000+00:00,S2B_MSIL2A_20230622T091559_N0510_R093_T34TFK_20240911T015737,2023-06-22 09:15:59.024000+00:00,6.271439,sentinel-2b,sentinel-2,sentinel-2-l2a,0.9985290205243998,5731012611.761772
2023-08-17,2023-08-16 09:20:31.024000+00:00,S2A_MSIL2A_20230816T092031_N0510_R093_T35TKF_20240907T164626,2023-08-16 09:20:31.024000+00:00,1.23,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-08-17,2023-08-16 09:20:31.024000+00:00,S2A_MSIL2A_20230816T092031_N0510_R093_T34TFL_20240907T164626,2023-08-16 09:20:31.024000+00:00,1.27,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-08-17,2023-08-16 09:20:31.024000+00:00,S2A_MSIL2A_20230816T092031_N0510_R093_T34TFK_20240907T164626,2023-08-16 09:20:31.024000+00:00,1.75,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
2023-10-22,2023-10-15 09:20:31.024000+00:00,S2A_MSIL2A_20231015T092031_N0510_R093_T35TKF_20241103T140930,2023-10-15 09:20:31.024000+00:00,0.66771,sentinel-2a,sentinel-2,sentinel-2-l2a,1.0000000000000022,5739455232.61008
