id,datetime,platform,constellation,collection
S2A_MSIL2A_20241029T092111_N0511_R093_T34TFL_20241029T123853,2024-10-29T09:21:11.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241029T092111_N0511_R093_T34TFK_20241029T123853,2024-10-29T09:21:11.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241026T091051_N0511_R050_T35TKF_20241026T122806,2024-10-26T09:10:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241026T091051_N0511_R050_T35TKE_20241026T122806,2024-10-26T09:10:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241026T091051_N0511_R050_T34TGL_20241026T122806,2024-10-26T09:10:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241026T091051_N0511_R050_T34TGK_20241026T122806,2024-10-26T09:10:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241026T091051_N0511_R050_T34TFL_20241026T122806,2024-10-26T09:10:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20241026T091051_N0511_R050_T34TFK_20241026T122806,2024-10-26T09:10:51.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241024T091939_N0511_R093_T35TKF_20241024T105557,2024-10-24T09:19:39.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20241024T091939_N0511_R093_T35TKE_20241024T105557,2024-10-24T09:19:39.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
