id,datetime,platform,constellation,collection
S2A_MSIL2A_20240708T090601_N0510_R050_T34TGK_20240708T123850,2024-07-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240708T090601_N0510_R050_T34TFL_20240708T123850,2024-07-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240708T090601_N0510_R050_T34TFK_20240708T123850,2024-07-08T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240706T091559_N0510_R093_T35TKF_20240706T105707,2024-07-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240706T091559_N0510_R093_T35TKE_20240706T105707,2024-07-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240706T091559_N0510_R093_T34TGL_20240706T105707,2024-07-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240706T091559_N0510_R093_T34TGK_20240706T105707,2024-07-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240706T091559_N0510_R093_T34TFL_20240706T105707,2024-07-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240706T091559_N0510_R093_T34TFK_20240706T105707,2024-07-06T09:15:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240703T090559_N0510_R050_T35TKF_20240703T105344,2024-07-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240703T090559_N0510_R050_T35TKE_20240703T105344,2024-07-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240703T090559_N0510_R050_T34TGL_20240703T105344,2024-07-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240703T090559_N0510_R050_T34TGK_20240703T105344,2024-07-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240703T090559_N0510_R050_T34TFL_20240703T105344,2024-07-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2B_MSIL2A_20240703T090559_N0510_R050_T34TFK_20240703T105344,2024-07-03T09:05:59.024Z,sentinel-2b,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240701T092031_N0510_R093_T35TKF_20240701T121649,2024-07-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240701T092031_N0510_R093_T35TKE_20240701T121649,2024-07-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240701T092031_N0510_R093_T34TGL_20240701T121649,2024-07-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240701T092031_N0510_R093_T34TGK_20240701T121649,2024-07-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240701T092031_N0510_R093_T34TFL_20240701T121649,2024-07-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240701T092031_N0510_R093_T34TFK_20240701T121649,2024-07-01T09:20:31.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240628T090601_N0510_R050_T35TKF_20240628T134250,2024-06-28T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240628T090601_N0510_R050_T35TKE_20240628T134250,2024-06-28T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240628T090601_N0510_R050_T34TGL_20240628T134250,2024-06-28T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240628T090601_N0510_R050_T34TGK_20240628T134250,2024-06-28T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
S2A_MSIL2A_20240628T090601_N0510_R050_T34TFL_20240628T134250,2024-06-28T09:06:01.024Z,sentinel-2a,sentinel-2,sentinel-2-l2a
